client_name,campaign_name,goal,remaining,daily,weekly,url,sale_price,start_date,status,vendor,curator_status,playlists,notes,last_modified,sp_vendor_updates,spotify_campaign
"VRG","VRG - attitude",10000,685,80,518,"https://open.spotify.com/track/2E5Tu2n6tsG5S3dRDkEmR7",0,"4/25/2025","Active","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","9/18/2025 3:01pm","",""
"VRG","VRG - escapeplan",15000,-66,80,432,"https://open.spotify.com/track/0AMwK8RBOqNJy2qCpmIx0a",0,"2/21/2025","Complete","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","9/11/2025 6:51pm","",""
"Odd Language","Odd Language - ok fine goodbye",9000,3839,21,198,"https://open.spotify.com/track/6wTaZYGJwmwzwTUHRXtdiI?si=NP7kmGu8RrKg2BrATkVv7Q",0,"5/21/2025","Active","Moon","Accepted","- BEST DUBSTEP OF ALL TIME","","9/18/2025 1:51pm","",""
"Annabel Stirling","Stirling - Heaven Is Hell",30000,-1773,766,5498,"https://open.spotify.com/track/03ibEy0oqORdr1EtI7SBnY?si=v9DJn_L_TAOtT3LMkjYPDA&context=spotify%3Asearch%3Aanna",0,"5/6/2025","Complete","Club Restricted","Accepted","- Linkin Park, Eminem... [NEW]","","6/26/2025 5:40am","",""
"Hgods","HGods - Jackie Kennedy",5000,-129,41,358,"https://open.spotify.com/track/75zkQ3SVqVvkm3jqVfypoj",0,"5/2/2025","Complete","Moon","Accepted","- BEST DUBSTEP OF ALL TIME","","7/17/2025 11:06am","",""
"Jared,High Zombie","High Zombie - BOWL OF NAILS",50000,39376,74,463,"https://open.spotify.com/track/1DMRH6Bbf36ra430p0XQKV?si=87870f7f01d848e9",0,"4/18/2025","Active","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","9/11/2025 4:25pm","",""
"Daunter","Daunter - Let Go",12000,3915,30,214,"https://open.spotify.com/track/2IwIvnhAM0zqBAKR7vnteg",0,"4/17/2025","Active","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","9/18/2025 10:48am","",""
"Jared,dack janiels","Dack Janiels - Panic Attack",15000,15000,0,0,"https://soundcloud.com/artistinfluence/shock-therapy/s-sNIt3qQ4WbR?si=7ccfd00dabd74d48827b5965aa176118&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing",0,"4/4/2025","Cancelled","Club Restricted","Accepted","","","3/24/2025 4:39pm","",""
"Strobez","Strobez - Get Louder VIP",10000,-303,42,288,"https://soundcloud.com/strobez-music/getlouder-vip/s-n1rLxygKAaW?si=ad5336346e484b448d56105a9b469865&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing",0,"3/28/2025","Complete","Moon","Accepted","- BEST DUBSTEP OF ALL TIME","","8/7/2025 11:33am","",""
"disgo","DISGO - BANG",15000,6337,34,223,"https://open.spotify.com/track/5ovHZbvVrRKEo0gyRZna22?si=78ad27213db04932",0,"3/14/2025","Active","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","","9/18/2025 10:53am","",""
"Luhv","Luhv - All U Got",15000,15000,0,0,"https://soundcloud.com/luhvmusic/all-u-got-m22/s-nvbQSPZbuFJ?si=b64ee22098054df1b8dc1e4bffec27d7&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing",0,"3/12/2025","Cancelled","Club Restricted","Denied","","","10/31/2024 3:57pm","",""
"Luhv","Luhv - Only Human",30000,30000,0,0,"https://soundcloud.com/luhvmusic/only-human-m2/s-UklWMVUixLb?si=af5a3b793e924147a3cddb70b8a5ce8d&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing",0,"2/12/2025","Cancelled","Club Restricted","Accepted","","","10/31/2024 3:57pm","",""
